House_Name,Area
Maple Villa,145.567
Sunset Cottage,98.432
Hilltop Residence,210.768
Lakeview Manor,175.984
Orchid Bungalow,120.356
Willow Retreat,132.789
Crystal Residence,187.652
Golden Haven,203.473
Silver Meadows,160.345
Rosewood Estate,142.876
Amber Ridge,195.567
Pinecrest Home,101.289
Ocean Breeze Villa,170.346
Serenity Place,180.753
Aspen Heights,194.213
Sapphire Haven,155.987
Moonlight Cottage,123.657
Emerald Villa,136.542
Garden View Residence,185.764
Starlight Manor,202.389
